"dname","attrib","img","behavior","target_team","manacost","description","cooldown","dmg_type","target_type","dispellable","bkbpierce","lore","damage","is_innate"
"+45 Base Damage","","","","","","","","","","","","","",""
"+45 Damage","","","","","","","","","","","","","",""
"+45 Death Ward Damage","","","","","","","","","","","","","",""
"+45 Leech Seed Damage/Heal","","","","","","","","","","","","","",""
"+45 Movement Speed","","","","","","","","","","","","","",""
"+45 Retaliate Damage","","","","","","","","","","","","","",""
"+45 Shadow Wave Heal / Damage","","","","","","","","","","","","","",""
"+45 Spirit Link Attack Speed","","","","","","","","","","","","","",""
"+45 Track Gold","","","","","","","","","","","","","",""
"+450 Echo Stomp Wake Damage","","","","","","","","","","","","","",""
"+450 Health","","","","","","","","","","","","","",""
"+450 Tree Dance Cast Range","","","","","","","","","","","","","",""
"+475 Health","","","","","","","","","","","","","",""
"+4s Frost Shield Duration","","","","","","","","","","","","","",""
"+5 Agility","","","","","","","","","","","","","",""
"+5 All Stats","","","","","","","","","","","","","",""
"+5 Armor","","","","","","","","","","","","","",""
"+5 Fervor Attack Speed","","","","","","","","","","","","","",""
"+5 Health Regen","","","","","","","","","","","","","",""
"+5 Mana Regen","","","","","","","","","","","","","",""
"+5 Static Link Damage Steal","","","","","","","","","","","","","",""
"+5 Strength","","","","","","","","","","","","","",""
"+5% Chakram Slow","","","","","","","","","","","","","",""
"+5% Dispersion","","","","","","","","","","","","","",""
"+5% Fiend's Grip Max Mana Drain","","","","","","","","","","","","","",""
"+5% Invading Force Movement Bonus/Damage Reduction","","","","","","","","","","","","","",""
"+5% Magic Resistance","","","","","","","","","","","","","",""
"+5% Movement Speed","","","","","","","","","","","","","",""
"+5% Poison Sting Slow","","","","","","","","","","","","","",""
"+5% Psionic Trap Slow","","","","","","","","","","","","","",""
"+5% Scorched Earth Movement Speed","","","","","","","","","","","","","",""
"+5% Spell Amplification","","","","","","","","","","","","","",""
"+5% Tether Movement Speed","","","","","","","","","","","","","",""
"+5% XP Gain","","","","","","","","","","","","","",""
"+50 Aether Remnant Damage","","","","","","","","","","","","","",""
"+50 Aftershock Damage","","","","","","","","","","","","","",""
"+50 Attack Range","","","","","","","","","","","","","",""
"+50 Attack Speed","","","","","","","","","","","","","",""
"+50 Barracuda Regen","","","","","","","","","","","","","",""
"+50 Base Damage","","","","","","","","","","","","","",""
"+50 Black Hole Damage Per Second","","","","","","","","","","","","","",""
"+50 Cast Range","","","","","","","","","","","","","",""
"+50 Chemical Rage Movement Speed","","","","","","","","","","","","","",""
"+50 Chemical Rage Regeneration","","","","","","","","","","","","","",""
"+50 Crypt Swarm Damage","","","","","","","","","","","","","",""
"+50 Curse of Avernus DPS","","","","","","","","","","","","","",""
"+50 Damage","","","","","","","","","","","","","",""
"+50 Death Pulse Heal","","","","","","","","","","","","","",""
"+50 Decay Damage","","","","","","","","","","","","","",""
"+50 Echo Damage","","","","","","","","","","","","","",""
"+50 Flamebreak Knockback Distance","","","","","","","","","","","","","",""
"+50 Freezing Field Damage","","","","","","","","","","","","","",""
"+50 Ghoul Frenzy Attack Speed","","","","","","","","","","","","","",""
"+50 Health Regen","","","","","","","","","","","","","",""
"+50 Ice Wall DPS","","","","","","","","","","","","","",""
"+50 Illusory Orb Damage","","","","","","","","","","","","","",""
"+50 Ion Shell Damage","","","","","","","","","","","","","",""
"+50 Jinada Gold Steal","","","","","","","","","","","","","",""
"+50 Liquid Fire Attack Speed Slow","","","","","","","","","","","","","",""
"+50 Max Headshot Knockback Distance","","","","","","","","","","","","","",""
"+50 Movement Speed","","","","","","","","","","","","","",""
"+50 Poof Damage","","","","","","","","","","","","","",""
"+50 Sleight of Fist Hero Damage","","","","","","","","","","","","","",""
"+50 Smoke Screen Radius","","","","","","","","","","","","","",""
"+50 Spell AoE","","","","","","","","","","","","","",""
"+50 Sticky Napalm Radius","","","","","","","","","","","","","",""
"+50 Tricks of the Trade Agility Increase","","","","","","","","","","","","","",""
"+50 Upheaval Radius","","","","","","","","","","","","","",""
"+50% Blade Dance Lifesteal","","","","","","","","","","","","","",""
"+50% Critical Strike (140%)","","","","","","","","","","","","","",""
"+50% Death Rime Slow/Damage","","","","","","","","","","","","","",""
"+50% Enchant Totem Damage","","","","","","","","","","","","","",""
"+50% Evasion","","","","","","","","","","","","","",""
"+50% Flesh Golem Strength Bonus","","","","","","","","","","","","","",""
"+50% God's Strength Damage","","","","","","","","","","","","","",""
"+50% Luminosity Critical Strike Damage","","","","","","","","","","","","","",""
"+50% Magic Resistance","","","","","","","","","","","","","",""
"+50% Serpent Wards Max HP","","","","","","","","","","","","","",""
"+50% Spell Lifesteal","","","","","","","","","","","","","",""
"+50% XP Gain","","","","","","","","","","","","","",""
"+500 Gold","[{'key': 'value', 'header': 'VALUE:', 'value': '500', 'generated': True}]","/apps/dota2/images/dota_react/abilities/ad_special_bonus_gold_lvl15_l.png","Passive","","","Associated ability not drafted, have some gold!","","","","","","","",""
"+500 Gold","[{'key': 'value', 'header': 'VALUE:', 'value': '500', 'generated': True}]","/apps/dota2/images/dota_react/abilities/ad_special_bonus_gold_lvl15_r.png","Passive","","","Associated ability not drafted, have some gold!","","","","","","","",""
"+500 Health","","","","","","","","","","","","","",""
"+500 Mana","","","","","","","","","","","","","",""
"+500 Night Vision","","","","","","","","","","","","","",""
"+55 Attack Speed","","","","","","","","","","","","","",""
"+55 Damage","","","","","","","","","","","","","",""
"+55 Winter's Curse Attack Speed ","","","","","","","","","","","","","",""
"+5s Ice Blast Frostbitten Duration","","","","","","","","","","","","","",""
"+5s Warcry Duration","","","","","","","","","","","","","",""
"+6 Agility","","","","","","","","","","","","","",""
"+6 Agility and Intelligence","","","","","","","","","","","","","",""
"+6 All Stats","","","","","","","","","","","","","",""
"+6 Armor","","","","","","","","","","","","","",""
"+6 Health Regen","","","","","","","","","","","","","",""
"+6 Intelligence","","","","","","","","","","","","","",""
"+6 Mana Regen","","","","","","","","","","","","","",""
"+6 Max / +1 Hero Attack Reactive Armor Stacks","","","","","","","","","","","","","",""
"+6 Mortimer Kisses Launched","","","","","","","","","","","","","",""
"+6 Strength","","","","","","","","","","","","","",""
"+6 Tombstone Attacks to Destroy","","","","","","","","","","","","","",""
"+6 Visage and Familiars Attack Damage","","","","","","","","","","","","","",""
"+6% Magic Resistance","","","","","","","","","","","","","",""
"+6% Movement Speed","","","","","","","","","","","","","",""
"+6% Spell Amplification","","","","","","","","","","","","","",""
"+6% Spell Lifesteal","","","","","","","","","","","","","",""
"+6.5% Impetus Damage","","","","","","","","","","","","","",""
"+60 Arc Lightning Damage","","","","","","","","","","","","","",""
"+60 Attack Speed","","","","","","","","","","","","","",""
"+60 Bushwhack Damage","","","","","","","","","","","","","",""
"+60 Cast Range","","","","","","","","","","","","","",""
"+60 Damage","","","","","","","","","","","","","",""
"+60 Firestorm Radius","","","","","","","","","","","","","",""
"+60 Gold/Min","","","","","","","","","","","","","",""
"+60 Mortimer Kisses Impact Damage","","","","","","","","","","","","","",""
"+60 Movement Speed","","","","","","","","","","","","","",""
"+60 Phantom Strike Attack Speed","","","","","","","","","","","","","",""
"+60 Poison Touch DPS","","","","","","","","","","","","","",""
"+60 Searing Chains Damage","","","","","","","","","","","","","",""
"+60 Shukuchi Damage","","","","","","","","","","","","","",""
"+60 Spirits Hero Damage","","","","","","","","","","","","","",""
"+60 Static Remnant Damage","","","","","","","","","","","","","",""
"+60 Tidebringer Damage","","","","","","","","","","","","","",""
"+60 Tree Grab Base Damage","","","","","","","","","","","","","",""
"+60 Waning Rift Damage","","","","","","","","","","","","","",""
"+60% Boundless Strike Critical Damage","","","","","","","","","","","","","",""
"+60% Cleave","","","","","","","","","","","","","",""
"+60% Lil' Shredder Attack Damage","","","","","","","","","","","","","",""
"+60% Spell Lifesteal","","","","","","","","","","","","","",""
"+60% XP Gain","","","","","","","","","","","","","",""
"+600 Earth Spike cast range/travel distance","","","","","","","","","","","","","",""
"+600 Health","","","","","","","","","","","","","",""
"+600 Mana","","","","","","","","","","","","","",""
"+600 Night Vision","","","","","","","","","","","","","",""
"+65 Damage","","","","","","","","","","","","","",""
"+65 Earth Spike Damage","","","","","","","","","","","","","",""
"+65 Ion Shell Radius","","","","","","","","","","","","","",""
"+65 Movement Speed","","","","","","","","","","","","","",""
"+65 Phantom's Embrace DPS","","","","","","","","","","","","","",""
"+65 Untouchable Attack Slow","","","","","","","","","","","","","",""
"+650 Health","","","","","","","","","","","","","",""
"+67% Pulverize Duration","","","","","","","","","","","","","",""
"+6s Burning Spear Duration","","","","","","","","","","","","","",""
"+6s Dark Ascension Duration","","","","","","","","","","","","","",""
"+6s Shapeshift Duration","","","","","","","","","","","","","",""
"+7 Agility","","","","","","","","","","","","","",""
"+7 All Stats","","","","","","","","","","","","","",""
"+7 Armor","","","","","","","","","","","","","",""
"+7 Fury Swipes Damage","","","","","","","","","","","","","",""
"+7 Health Regen","","","","","","","","","","","","","",""
"+7 Intelligence","","","","","","","","","","","","","",""
"+7 Spirit Bear Armor","","","","","","","","","","","","","",""
"+7 Strength","","","","","","","","","","","","","",""
"+7 Time Dilation DPS Per Cooldown","","","","","","","","","","","","","",""
"+7 Uproar Armor Per Stack","","","","","","","","","","","","","",""
"+7% Spell Amplification","","","","","","","","","","","","","",""
"+70 Attack Speed","","","","","","","","","","","","","",""
"+70 Avalanche Damage","","","","","","","","","","","","","",""
"+70 Damage","","","","","","","","","","","","","",""
"+70 Dark Pact Damage","","","","","","","","","","","","","",""
"+70 Geminate Attack Damage","","","","","","","","","","","","","",""
"+70 Max Health Per Finger of Death Kill","","","","","","","","","","","","","",""
"+70 Resonant Pulse Damage","","","","","","","","","","","","","",""
"+70 Scatterblast Damage","","","","","","","","","","","","","",""
"+70% Spell Lifesteal","","","","","","","","","","","","","",""
"+70% Stroke of Fate Speed and Travel Range","","","","","","","","","","","","","",""
"+700 Health","","","","","","","","","","","","","",""
"+700 Mana","","","","","","","","","","","","","",""
"+75 Attack Range","","","","","","","","","","","","","",""
"+75 Cast Range","","","","","","","","","","","","","",""
"+75 Damage","","","","","","","","","","","","","",""
"+75 Death Ward Attack Range","","","","","","","","","","","","","",""
"+75 Defense Matrix Damage Barrier","","","","","","","","","","","","","",""
"+75 Echo Stomp Damage","","","","","","","","","","","","","",""
"+75 Intelligence","","","","","","","","","","","","","",""
"+75 Movement Speed","","","","","","","","","","","","","",""
"+75 Rocket Flare Damage","","","","","","","","","","","","","",""
"+75 Silence AoE","","","","","","","","","","","","","",""
"+75 Spell AoE","","","","","","","","","","","","","",""
"+75 Tame the Beasts Radius","","","","","","","","","","","","","",""
"+75 Thundergod's Wrath Damage","","","","","","","","","","","","","",""
"+75 Vacuum AoE","","","","","","","","","","","","","",""
"+75 Whirling Death Tree Bonus Damage","","","","","","","","","","","","","",""
"+75% Evasion","","","","","","","","","","","","","",""
"+75% Hammer of Purity Bonus Base Damage","","","","","","","","","","","","","",""
"+75% Moment of Courage Lifesteal","","","","","","","","","","","","","",""
"+75% Stroke of Fate Damage","","","","","","","","","","","","","",""
"+75% Timber Chain Range/Projectile Speed","","","","","","","","","","","","","",""
"+75% Walrus Punch Crit","","","","","","","","","","","","","",""
"+75% Waveform Attack Damage And Applies On Hit Effects","","","","","","","","","","","","","",""
"+75/+300 Tame the Beasts Min/Max Damage","","","","","","","","","","","","","",""
"+750 Gold","[{'key': 'value', 'header': 'VALUE:', 'value': '750', 'generated': True}]","/apps/dota2/images/dota_react/abilities/ad_special_bonus_gold_lvl20_l.png","Passive","","","Associated ability not drafted, have some gold!","","","","","","","",""
"+750 Gold","[{'key': 'value', 'header': 'VALUE:', 'value': '750', 'generated': True}]","/apps/dota2/images/dota_react/abilities/ad_special_bonus_gold_lvl20_r.png","Passive","","","Associated ability not drafted, have some gold!","","","","","","","",""
"+8 Agility","","","","","","","","","","","","","",""
"+8 All Stats","","","","","","","","","","","","","",""
"+8 Armor","","","","","","","","","","","","","",""
"+8 Armor False Promise","","","","","","","","","","","","","",""
"+8 Berserker's Rage Armor","","","","","","","","","","","","","",""
"+8 Exorcism Spirits","","","","","","","","","","","","","",""
"+8 Health Regen","","","","","","","","","","","","","",""
"+8 Intelligence","","","","","","","","","","","","","",""
"+8 Living Armor Bonus Armor","","","","","","","","","","","","","",""
"+8 Mana Regen","","","","","","","","","","","","","",""
"+8 Nature's Attendants Heal","","","","","","","","","","","","","",""
"+8 Ransack Health Steal","","","","","","","","","","","","","",""
"+8 Strength","","","","","","","","","","","","","",""
"+8 Warcry Armor","","","","","","","","","","","","","",""
"+8% Cloak and Dagger Movement Speed","","","","","","","","","","","","","",""
"+8% Evasion","","","","","","","","","","","","","",""
"+8% Lifesteal","","","","","","","","","","","","","",""
"+8% Magic Resistance","","","","","","","","","","","","","",""
"+8% Manacost/Manaloss Reduction","","","","","","","","","","","","","",""
"+8% Moment of Courage Proc Chance","","","","","","","","","","","","","",""
"+8% Movement Speed","","","","","","","","","","","","","",""
"+8% Rupture Initial Damage","","","","","","","","","","","","","",""
"+8% Spell Amplification","","","","","","","","","","","","","",""
"+8% Spell Lifesteal","","","","","","","","","","","","","",""
"+8% Stinger Slow","","","","","","","","","","","","","",""
"+8%/4% Bristleback Back/Side Damage Reduction","","","","","","","","","","","","","",""
"+80 Agility","","","","","","","","","","","","","",""
"+80 Attack Speed","","","","","","","","","","","","","",""
"+80 Attack Speed during Chronosphere","","","","","","","","","","","","","",""
"+80 Chilling Touch Damage","","","","","","","","","","","","","",""
"+80 Curse of Avernus Attack Speed Bonus","","","","","","","","","","","","","",""
"+80 Damage","","","","","","","","","","","","","",""
"+80 Dead Shot Damage","","","","","","","","","","","","","",""
"+80 Health Regen","","","","","","","","","","","","","",""
"+80 Lightning Storm Damage","","","","","","","","","","","","","",""
"+80 Lucent Beam Damage","","","","","","","","","","","","","",""
"+80 Shield Crash Barrier Per Hero","","","","","","","","","","","","","",""
"+80 Spawn Spiderlings Damage","","","","","","","","","","","","","",""
"+80 Spectral Dagger Damage","","","","","","","","","","","","","",""
"+80 Viper Strike DPS","","","","","","","","","","","","","",""
"+80 Void Damage","","","","","","","","","","","","","",""
"+80% Celestial Hammer Cast Range/Speed","","","","","","","","","","","","","",""
"+80% Magic Resistance","","","","","","","","","","","","","",""
"+800 Health","","","","","","","","","","","","","",""
"+800 Mana","","","","","","","","","","","","","",""
"+800 Night Vision","","","","","","","","","","","","","",""
"+85% Breathe Fire Damage/Cast Range in Dragon Form","","","","","","","","","","","","","",""
"+9 Agility","","","","","","","","","","","","","",""
"+9 Armor","","","","","","","","","","","","","",""
"+9 Strength","","","","","","","","","","","","","",""
"+9% Manacost/Manaloss Reduction","","","","","","","","","","","","","",""
"+9% Spell Amplification","","","","","","","","","","","","","",""
"+90 Attack Speed","","","","","","","","","","","","","",""
"+90 Damage","","","","","","","","","","","","","",""
"+90 Fissure Damage","","","","","","","","","","","","","",""
"+90 Gold/Min","","","","","","","","","","","","","",""
"+90 Leap Attack Speed","","","","","","","","","","","","","",""
"+90 Movement Speed","","","","","","","","","","","","","",""
"+90 Onslaught Damage","","","","","","","","","","","","","",""
"+90 Shadow Dance Attack Speed","","","","","","","","","","","","","",""
"+900 Health","","","","","","","","","","","","","",""
"+=1.5% of Current Mana as Movement Speed","","","","","","","","","","","","","",""
"+=2 Lil' Shredder Targets","","","","","","","","","","","","","",""
"+=40 Upheaval Damage","","","","","","","","","","","","","",""
"+=55 Gunslinger Damage","","","","","","","","","","","","","",""
"+{s:bonus_bonus_armor} Berserker's Call Armor","","","","","","","","","","","","","",""
"+{s:bonus_damage_absorb} Aphotic Shield Barrier Amount","","","","","","","","","","","","","",""
"+{s:bonus_damage_per_mana} Mana Shield Damage per Mana","","","","","","","","","","","","","",""
"+{s:bonus_damage_per_stack} Warpath Damage Per Stack","","","","","","","","","","","","","",""
"+{s:bonus_damage} Meat Hook Damage","","","","","","","","","","","","","",""
"+{s:bonus_delay_time}s Admiral's Rum Delay Time","","","","","","","","","","","","","",""
"+{s:bonus_duration}s Scurry Duration","","","","","","","","","","","","","",""
"+{s:bonus_float_multiplier} Mind Flare Max Mana Multiplier","","","","","","","","","","","","","",""
"+{s:bonus_shrapnel_damage}% Shrapnel Damage","","","","","","","","","","","","","",""
"+{s:bonus_slow_movement_speed}% Shrapnel Movement Slow","","","","","","","","","","","","","",""
"+{s:bonus_target_crit_multiplier}% Crit On Targets Affected By Dragon Slave","","","","","","","","","","","","","",""
"+{s:bonus_tooltip_illusion_damage}% Juxtapose Damage","","","","","","","","","","","","","",""
"+{s:bonus_treant_movespeed} Treant Movement Speed","","","","","","","","","","","","","",""
"--20s Song of the Siren Cooldown","","","","","","","","","","","","","",""
"-0.1s Chemical Rage Base Attack Time","","","","","","","","","","","","","",""
"-0.1s Eye of the Storm Strike Interval","","","","","","","","","","","","","",""
"-0.2 Base Attack Rate","","","","","","","","","","","","","",""
"-0.25s Battery Assault Interval","","","","","","","","","","","","","",""
"-0.3s BAT during Insatiable Hunger","","","","","","","","","","","","","",""
"-0.5s Dark Pact Cooldown","","","","","","","","","","","","","",""
"-0.5s Keen Conveyance Channel Time","","","","","","","","","","","","","",""
"-0.8s Proximity Mines Activation Delay","","","","","","","","","","","","","",""
"-1 Jingu Mastery Required Hits","","","","","","","","","","","","","",""
"-1 Luminosity Attacks Required","","","","","","","","","","","","","",""
"-1.25s Static Remnant Cooldown","","","","","","","","","","","","","",""
"-1.5s Enchant Totem Cooldown","","","","","","","","","","","","","",""
"-1.5s Ice Path Cooldown","","","","","","","","","","","","","",""
"-10% Focus Fire Damage Reduction","","","","","","","","","","","","","",""
"-10%/10 Dual Breath Movement/Attack Speed Slow","","","","","","","","","","","","","",""
"-100 Desolate Ally Radius","","","","","","","","","","","","","",""
"-10s Dream Coil Cooldown","","","","","","","","","","","","","",""
"-10s Healing Ward Cooldown","","","","","","","","","","","","","",""
"-10s Mirror Image Cooldown","","","","","","","","","","","","","",""
"-10s Nature's Call Cooldown","","","","","","","","","","","","","",""
"-10s Scorched Earth Cooldown","","","","","","","","","","","","","",""
"-12% Fade Bolt Damage Reduction","","","","","","","","","","","","","",""
"-12s Glimpse Cooldown","","","","","","","","","","","","","",""
"-12s God's Strength Cooldown","","","","","","","","","","","","","",""
"-12s Remnant Charge Restore Time","","","","","","","","","","","","","",""
"-14% Penitence Slow","","","","","","","","","","","","","",""
"-15% Curse of Avernus Movement Slow","","","","","","","","","","","","","",""
"-15% Powershot Reduction","","","","","","","","","","","","","",""
"-15s Blast Off! Cooldown","","","","","","","","","","","","","",""
"-15s Respawn Time","","","","","","","","","","","","","",""
"-15s Shapeshift Cooldown","","","","","","","","","","","","","",""
"-15s Tombstone Cooldown","","","","","","","","","","","","","",""
"-16s Rolling Thunder Cooldown","","","","","","","","","","","","","",""
"-18s Nether Swap Cooldown","","","","","","","","","","","","","",""
"-1s Fireblast Cooldown","","","","","","","","","","","","","",""
"-1s Nether Blast Cooldown","","","","","","","","","","","","","",""
"-1s Plague Ward Cooldown","","","","","","","","","","","","","",""
"-1s Poof Cast Duration","","","","","","","","","","","","","",""
"-1s Purifying Flames Cooldown","","","","","","","","","","","","","",""
"-1s Shadow Poison Cooldown","","","","","","","","","","","","","",""
"-1s Shadow Strike Damage Interval","","","","","","","","","","","","","",""
"-1s Spirit Lance Cooldown","","","","","","","","","","","","","",""
"-1s Time Walk Cooldown","","","","","","","","","","","","","",""
"-2.0s Lucent Beam Cooldown","","","","","","","","","","","","","",""
"-2.0s Windrun Cooldown","","","","","","","","","","","","","",""
"-2.5 Armor Corruption","","","","","","","","","","","","","",""
"-2.5s Crypt Swarm Cooldown","","","","","","","","","","","","","",""
"-2.5s Death Pulse Cooldown","","","","","","","","","","","","","",""
"-2.5s Earthbind Cooldown","","","","","","","","","","","","","",""
"-2.5s Hex Cooldown","","","","","","","","","","","","","",""
"-20s Arena Of Blood Cooldown","","","","","","","","","","","","","",""
"-20s False Promise Cooldown","","","","","","","","","","","","","",""
"-20s Global Silence Cooldown","","","","","","","","","","","","","",""
"-20s Guardian Angel Cooldown","","","","","","","","","","","","","",""
"-20s Metamorphosis Cooldown","","","","","","","","","","","","","",""
"-20s Moonlight Shadow Cooldown","","","","","","","","","","","","","",""
"-20s Respawn Time","","","","","","","","","","","","","",""
"-20s Solar Guardian Cooldown","","","","","","","","","","","","","",""
"-22s Spirit Siphon Replenish Time","","","","","","","","","","","","","",""
"-25% Stolen Spells Cooldown","","","","","","","","","","","","","",""
"-25% Voodoo Restoration Mana Per Second","","","","","","","","","","","","","",""
"-25s Laguna Blade Cooldown","","","","","","","","","","","","","",""
"-25s Respawn Time","","","","","","","","","","","","","",""
"-25s Stampede Cooldown","","","","","","","","","","","","","",""
"-2s Blink Cooldown","","","","","","","","","","","","","",""
"-2s Burrowstrike Cooldown","","","","","","","","","","","","","",""
"-2s Bushwhack Cooldown","","","","","","","","","","","","","",""
"-2s Decay Cooldown","","","","","","","","","","","","","",""
"-2s Divine Favor Teleport Delay","","","","","","","","","","","","","",""
"-2s Ensnare Cooldown","","","","","","","","","","","","","",""
"-2s God's Rebuke Cooldown","","","","","","","","","","","","","",""
"-2s Guardian Sprint Cooldown","","","","","","","","","","","","","",""
"-2s Ice Vortex Cooldown","","","","","","","","","","","","","",""
"-2s Illuminate Cooldown","","","","","","","","","","","","","",""
"-2s Magic Missile Cooldown","","","","","","","","","","","","","",""
"-2s Mortal Strike Cooldown","","","","","","","","","","","","","",""
"-2s Overwhelming Odds Cooldown","","","","","","","","","","","","","",""
"-2s Power Cogs Cooldown","","","","","","","","","","","","","",""
"-2s Rocket Flare Cooldown","","","","","","","","","","","","","",""
"-2s Sacred Arrow cooldown","","","","","","","","","","","","","",""
"-2s Shackleshot Cooldown","","","","","","","","","","","","","",""
"-2s Shadow Realm Cooldown","","","","","","","","","","","","","",""
"-2s Stifling Dagger Cooldown","","","","","","","","","","","","","",""
"-3 Armor Corruption","","","","","","","","","","","","","",""
"-3 Tricks of the Trade Cooldown","","","","","","","","","","","","","",""
"-3.5s Dragon Slave Cooldown","","","","","","","","","","","","","",""
"-3.5s Frost Blast Cooldown","","","","","","","","","","","","","",""
"-3.5s Gust Cooldown","","","","","","","","","","","","","",""
"-30% Breathe Fire Damage Reduction","","","","","","","","","","","","","",""
"-30% Damage Taken in Shadow Walk","","","","","","","","","","","","","",""
"-30s Call Down Cooldown","","","","","","","","","","","","","",""
"-30s Demonic Purge Cooldown","","","","","","","","","","","","","",""
"-30s Hand of God Cooldown","","","","","","","","","","","","","",""
"-30s Primal Roar Cooldown","","","","","","","","","","","","","",""
"-30s Relocate Cooldown","","","","","","","","","","","","","",""
"-30s Respawn Time","","","","","","","","","","","","","",""
"-30s Shrapnel Charge Restore Time","","","","","","","","","","","","","",""
"-30s Sunder Cooldown","","","","","","","","","","","","","",""
"-35s Overgrowth Cooldown","","","","","","","","","","","","","",""
"-35s Respawn Time","","","","","","","","","","","","","",""
"-3s Blade Fury Cooldown","","","","","","","","","","","","","",""
"-3s Brain Sap Cooldown","","","","","","","","","","","","","",""
"-3s Bulldoze Cooldown","","","","","","","","","","","","","",""
"-3s Chakra Magic Cooldown","","","","","","","","","","","","","",""
"-3s Chaos Bolt Cooldown","","","","","","","","","","","","","",""
"-3s Firestorm Cooldown","","","","","","","","","","","","","",""
"-3s Geomagnetic Grip Cooldown","","","","","","","","","","","","","",""
"-3s Grave Chill Cooldown","","","","","","","","","","","","","",""
"-3s Kinetic Field Cooldown","","","","","","","","","","","","","",""
"-3s Mind Flare Cooldown","","","","","","","","","","","","","",""
"-3s Mystic Snake Cooldown","","","","","","","","","","","","","",""
"-3s Nightmare Cooldown","","","","","","","","","","","","","",""
"-3s Proximity Mines Cooldown","","","","","","","","","","","","","",""
"-3s Purification Cooldown","","","","","","","","","","","","","",""
"-3s Shukuchi Cooldown","","","","","","","","","","","","","",""
"-3s Slithereen Crush Cooldown","","","","","","","","","","","","","",""
"-3s Smoke Screen Cooldown","","","","","","","","","","","","","",""
"-3s Swashbuckle Cooldown","","","","","","","","","","","","","",""
"-3s Waning Rift Cooldown","","","","","","","","","","","","","",""
"-4 Armor Corruption","","","","","","","","","","","","","",""
"-4 Corrosive Haze Armor","","","","","","","","","","","","","",""
"-4 Gush Armor","","","","","","","","","","","","","",""
"-4 Wave of Terror Armor","","","","","","","","","","","","","",""
"-40% Waveform Cooldown","","","","","","","","","","","","","",""
"-40.0s Eclipse Cooldown","","","","","","","","","","","","","",""
"-40s Respawn Time","","","","","","","","","","","","","",""
"-40s Wall of Replica Cooldown","","","","","","","","","","","","","",""
"-45s Respawn Time","","","","","","","","","","","","","",""
"-45s Sonic Wave Cooldown","","","","","","","","","","","","","",""
"-4s Astral Step Charge Restore Time","","","","","","","","","","","","","",""
"-4s Blink Strike Replenish Time","","","","","","","","","","","","","",""
"-4s Charge of Darkness Cooldown","","","","","","","","","","","","","",""
"-4s Crystal Nova Cooldown","","","","","","","","","","","","","",""
"-4s Doppelganger CD","","","","","","","","","","","","","",""
"-4s Firesnap Cookie Cooldown","","","","","","","","","","","","","",""
"-4s Heavenly Jump Cooldown","","","","","","","","","","","","","",""
"-4s Ink Swell Cooldown","","","","","","","","","","","","","",""
"-4s Meat Hook Cooldown","","","","","","","","","","","","","",""
"-4s Nature's Grasp Cooldown","","","","","","","","","","","","","",""
"-4s Skeleton Walk Cooldown","","","","","","","","","","","","","",""
"-4s Spectral Dagger Cooldown","","","","","","","","","","","","","",""
"-4s Telekinesis Cooldown","","","","","","","","","","","","","",""
"-4s Tornado Cooldown","","","","","","","","","","","","","",""
"-4s Torrent Cooldown","","","","","","","","","","","","","",""
"-5 Armor Corruption","","","","","","","","","","","","","",""
"-50% Echo Slam Cooldown","","","","","","","","","","","","","",""
"-50% Mirror Image Illusion Damage Taken","","","","","","","","","","","","","",""
"-50% Viper Strike manacost/cooldown","","","","","","","","","","","","","",""
"-50s Dark Ascension Cooldown","","","","","","","","","","","","","",""
"-50s Mana Void Cooldown","","","","","","","","","","","","","",""
"-50s Respawn Time","","","","","","","","","","","","","",""
"-50s True Form Cooldown","","","","","","","","","","","","","",""
"-5s Cold Snap Cooldown","","","","","","","","","","","","","",""
"-5s Fade Bolt Cooldown","","","","","","","","","","","","","",""
"-5s Flak Cannon Cooldown","","","","","","","","","","","","","",""
"-5s Life Break Cooldown","","","","","","","","","","","","","",""
"-5s Reflection Cooldown","","","","","","","","","","","","","",""
"-5s Skewer Cooldown","","","","","","","","","","","","","",""
"-5s Spin Web Charge Restore Time","","","","","","","","","","","","","",""
"-5s Starbreaker Cooldown","","","","","","","","","","","","","",""
"-5s Trample Cooldown","","","","","","","","","","","","","",""
"-5s Venomous Gale CD","","","","","","","","","","","","","",""
"-60s Earth Splitter Cooldown","","","","","","","","","","","","","",""
"-60s Respawn Time","","","","","","","","","","","","","",""
"-60s Sanity's Eclipse Cooldown","","","","","","","","","","","","","",""
"-6s Ice Shards Cooldown","","","","","","","","","","","","","",""
"-6s Multishot Cooldown","","","","","","","","","","","","","",""
"-7s Ancient Seal Cooldown","","","","","","","","","","","","","",""
"-7s Bramble Maze CD","","","","","","","","","","","","","",""
"-7s Flaming Lasso Cooldown","","","","","","","","","","","","","",""
"-7s Magnetic Field Cooldown","","","","","","","","","","","","","",""
"-7s Savage Roar Cooldown","","","","","","","","","","","","","",""
"-8% Grow Attack Speed Reduction","","","","","","","","","","","","","",""
"-8% Moon Glaives Damage Reduction","","","","","","","","","","","","","",""
"-8% Split Shot Damage Penalty","","","","","","","","","","","","","",""
"-8s Avalanche Cooldown","","","","","","","","","","","","","",""
"-8s Blinding Light Cooldown","","","","","","","","","","","","","",""
"-8s Snowball Cooldown","","","","","","","","","","","","","",""
"-9s Strafe Cooldown","","","","","","","","","","","","","",""
