"","hero_name","hero_id","has_scepter","scepter_desc","scepter_skill_name","scepter_new_skill","has_shard","shard_desc","shard_skill_name","shard_new_skill"
87,"npc_dota_hero_naga_siren",89,True,"Increases cast range and projectile speed.  Allows Ensnare to target and affect Debuff Immune units.","Ensnare",False,True,"Increases Song of the Siren's regen and adds mana regeneration for allies.","Song of the Siren",False
88,"npc_dota_hero_keeper_of_the_light",90,True,"Summons Ignis Fatuus at the targeted area. Alternates on and off, drawing enemies closer with its mesmerising flicker.","Will-O-Wisp",True,True,"Increases illuminate heal.","Spirit Form",False
89,"npc_dota_hero_wisp",91,True,"Spirits now passively spawn around Io constantly every second up to the max. Spirits colliding with enemy Heroes slows them briefly. Can be activated to explode spirits.","Spirits",False,True,"Grants Overcharge Slow Resistance. Io also gains Spell Lifesteal and can now share Spell Lifesteal with its tethered target.","Overcharge",False
90,"npc_dota_hero_visage",92,True,"Turns Visage and familiars invisible, granting Visage bonus movement speed and upgrading its movement type to flying. When Visage or its familiars leave invisibility they deal more damage for a short duration. Lasts 30 seconds. Invisibility ends when attacking or casting.","Silent as the Grave",True,True,"Grants Visage the ability to cast Gravekeeper's Cloak. Restores up to 25% of your health.","Gravekeeper's Cloak",False
91,"npc_dota_hero_slark",93,True,"Provides charges and increases range.","Pounce",False,True,"Creates a cloud at the target location. All allies inside the radius are hidden and affected by Shadow Dance.","Depth Shroud",True
92,"npc_dota_hero_medusa",94,True,"Causes Mystic Snake to turn enemies hit into stone. Stone duration increases with each bounce of the Mystic Snake.","Mystic Snake",False,True,"When Medusa is targeted with a spell, a single-target Mystic Snake is sent back towards the enemy.","Cold Blooded",True
93,"npc_dota_hero_troll_warlord",95,True,"Causes Whirling Axes (Melee) to dispel Troll Warlord. Reduces cooldown and mana cost.

DISPEL TYPE: Basic Dispel","Whirling Axes (Melee)",False,True,"Increases max Fervor stacks by 3 and grants Troll 16% + 3% chance per Fervor stack of firing an additional ranged attack to any unit within its ranged attack range plus =175.","Fervor",False
94,"npc_dota_hero_centaur",96,True,"Centaur hitches a cart behind him. While active, Centaur gains the benefit of Stampede for the current level of Stampede, and can cast Hitch a Ride on a target ally.","Work Horse",True,True,"Causes Double Edge to slow enemy heroes and increase Centaur's strength per hero hit for a short time. Duration refreshes per stack, up to a max of 5 stacks.","Double Edge",False
95,"npc_dota_hero_magnataur",97,True,"Magnus tosses any enemies in front of him, launching them to his rear. Enemies take damage, spend 0.6 seconds in the air, and are stunned while in the air and an additional amount of time after landing.","Horn Toss",True,True,"Increases range, and causes Shockwave to return towards the caster's original cast location after reaching max length, hitting enemies a second time for 75% of the damage.","Shockwave",False
96,"npc_dota_hero_shredder",98,True,"Reactive Armor can now be activated to get max stacks and 200 damage barrier. Grants Timbersaw 100 + 75 barrier amount per second for each enemy hero within %radius% radius of Timbersaw up to a maximum of 800. After 8 seconds, Timbersaw deals damage to every hero within %explosion_radius% radius equal to 200 + his remaining barrier amount and loses all of his barrier.","Reactive Armor",False,True,"Releases a flame in the direction Timbersaw is facing. Applies a debuff that deals damage per second and slows enemy movement speed. Affects buildings for reduced damage.","Flamethrower",True
97,"npc_dota_hero_bristleback",99,True,"Adds active ability to Bristleback. Bristleback rotates towards the targeted direction and, after 0.5s, forcefully ejects 5 sequential Quill Sprays in a tight conical pattern out of his back every 0.4s. Bristleback's facing is locked during this time, he is disarmed, and his speed is reduced by -40%.","Bristleback",False,True,"Coughs a quill-packed hairball towards the target location. Erupts at the location, hitting enemies with Viscous Nasal Goo stacks and Quill Spray.","Hairball",True
98,"npc_dota_hero_tusk",100,True,"Kicks the closest enemy unit in the drawn direction, stunning, damaging, and slowing them. Also deals damage to all heroes within 250 radius of its landing area. Cooldown is reduced by 50% if kicking a creep.","Walrus Kick",True,True,"Increases depth of Ice Shards, and enemies trapped within an ice shard are slowed and take damage per second.","Ice Shards",False
99,"npc_dota_hero_skywrath_mage",101,True,"When Skywrath Mage casts Mystic Flare, another Mystic Flare will be created on the position of a different random target enemy within 700 range. Heroes will take priority.","Mystic Flare",False,True,"When Skywrath Mage casts Arcane Bolt, 2 bolts are created, one aimed at the original target, and the other at a random enemy within %extra_bolt_search_radius% range of the original target. Heroes will take priority.","Arcane Bolt",False
100,"npc_dota_hero_abaddon",102,True,"Increases duration. While Borrowed Time is active, anytime an ally takes more than 550 damage while within 900 range of Abaddon, an individual Mist Coil will automatically fire towards that ally.","Borrowed Time",False,True,"Causes Mist Coil to also deal attack damage and apply effects from items and abilities.","Mist Coil",False
101,"npc_dota_hero_elder_titan",103,True,"Causes Elder Titan to become debuff immune and gain 50% magic resistance for 2 seconds per affected enemy Hero when the spirit returns.","Astral Spirit",False,True,"Lowers Cooldown. Echo Stomp may be placed on alt-cast to allow Elder Titan to take the place of the Astral Spirit as it completes its stomp.","Echo Stomp",False
102,"npc_dota_hero_legion_commander",104,True,"Increases Duel duration.  Legion Commander is debuff immune for the duration of the Duel.","Duel",False,True,"Increases Duel damage by 8 per win. Applies retroactively.","Duel",False
103,"npc_dota_hero_techies",105,True,"Increases radius and duration of Minefield Sign. When an enemy hero walks within %trigger_radius% units of a minefield sign, the 1000 units area around the sign will become a minefield for 10 seconds, dealing damage to enemy units any time they move within its area. Minefield Sign is destroyed after this effect ends.","Minefield Sign",False,True,"Reactive Tazer can be cast on allies and deals damage on detonation. Also deals damage to any enemy that attacks the affected ally.","Reactive Tazer",False
104,"npc_dota_hero_ember_spirit",106,True,"Increases cast range, initial remnant speed, and maximum charges.","Fire Remnant",False,True,"If an enemy hero dies near Ember Spirit, a Fire Remnant charge will be replenished.","Fire Remnant",False
105,"npc_dota_hero_earth_spirit",107,True,"Earth Spirit temporarily enchants a hero, granting them the properties of a Stone Remnant. After a short duration the remnant shatters, releasing the hero and damaging nearby enemies. < br>
Can be cast on Stone Remnants. Has a 5 second cooldown when used that way.
Has a larger cast range when cast on an ally hero.","Enchant Remnant",True,True,"Can now grab allies.","Geomagnetic Grip",False
106,"npc_dota_hero_abyssal_underlord",108,True,"Summons a Pit of Malice around each of the portals. Reduces cooldown.","Fiend's Gate",False,True,"Firestorm can be allied targeted. When used that way, the Firestorm follows the hero around.  The wave count is increased, and tick rate / duration time occur more quickly.","Firestorm",False
107,"npc_dota_hero_terrorblade",109,True,"Causes a wave to travel outwards in all directions forcing enemy heroes to become Feared upon impact and dealing damage, and grants Terrorblade Metamorphosis for a short time.","Terror Wave",True,True,"Costs part of Terrorblade's current HP to cast, providing Terrorblade and nearby illusions bonus movement, HP Regen and attack speed. Reflection illusions gain 50% of the bonuses. Can't be cast while in Metamorphosis and Metamorphosis will remove Demon Zeal","Demon Zeal",True
108,"npc_dota_hero_phoenix",110,True,"Increases number of attacks to destroy Supernova and allows Phoenix to cast Supernova on an allied hero, bringing both into the sun to be reborn together.","Supernova",False,True,"Allows Sun Ray to be cast during Supernova, and slows affected enemies by 10%.","Sun Ray",False
109,"npc_dota_hero_oracle",111,True,"Causes False Promise to have a 0.15 second fade delay invisibility and grants the ally 25% bonus Spell Damage and 0.25 reduced Base Attack Time.","False Promise",False,True,"Brings forth rain to the target area. Enemies standing in the area receive damage and have reduced heal amplification. Allies in the area heal and have increased incoming heal amplification.","Rain of Destiny",True
110,"npc_dota_hero_winter_wyvern",112,True,"Causes Arctic Burn to be a toggle ability, draining mana every second when active. Removes limit on number of attacks per target. Increases Winter Wyvern's movement speed.","Arctic Burn",False,True,"When Cold Embrace ends, a Splinter Blast goes off at that location, hitting enemies within 1150 range. Reduces cooldown by 4.0 seconds.","Cold Embrace",False
111,"npc_dota_hero_arc_warden",113,True,"Causes Spark Wraiths to spawn a new Spark Wraith after impacting an enemy, which then starts its 2.0 second activation period. The new Spark Wraiths last 15 seconds and has a radius of 225","Spark Wraith",False,True,"Magnetic Field slows enemies and enemy attack projectiles while they are in it. Also provides allies inside with increased attack projectile speed. Increases the radius by 75.","Magnetic Field",False
112,"npc_dota_hero_monkey_king",114,True,"Spawns a monkey soldier near Monkey King at regular intervals. Soldiers do not spawn while invisible or on trees. Soldiers only attack buildings when Monkey King himself is nearby. Soldiers can now gain Jingu Mastery charges independently.","Wukong's Command",False,True,"Boundless Strike applies Primal Spring with 60% of the max channeling duration power to enemies along the staff and at the end of the staff. When Boundless Strike is set to alt-cast, Monkey King leaps to the end of his staff.","Boundless Strike",False
113,"npc_dota_hero_dark_willow",119,True,"Attacking no longer takes Dark Willow out of Shadow Realm. Each attack still has bonus damage based on the duration of the buff.","Shadow Realm",False,True,"Cursed Crown creates 4 brambles in a 175 radius around the target after the counter ends. Triggers even upon dispel. Reduces stun delay by 1 second.","Cursed Crown",False
114,"npc_dota_hero_pangolier",120,True,"Causes Shield Crash to cast a 2-attack Swashbuckle every 90 degrees around your hero.","Shield Crash",False,True,"Pangolier curls into an immobile protective ball, gaining debuff immunity, 60% magic resistance, and allowing him to turn. Can be cast during Rolling Thunder to temporarily hit the brakes. Can cast Rolling Thunder and Shield Crash during Roll Up. If enemies attack Pangolier during this, he will roll away from the attacker, applying Rolling Thunder damage/stun if there are enemies in the way.","Roll Up",True
115,"npc_dota_hero_grimstroke",121,True,"Creates an ink illusion of a target enemy hero. Illusion is debuff immune, has 95% magic resistance, and has bonus movement speed and attack damage.","Dark Portrait",True,True,"Causes Ink Swell to deal 30% more damage and heal the target for 30% of the damage Ink Swell deals. Upon expiration, the target will receive a strong dispel.

DISPEL TYPE: Strong Dispel","Ink Swell",False
116,"npc_dota_hero_hoodwink",123,True,"Decreases wind-up time and increases arrow speed.","Sharpshooter",False,True,"Tosses a boomerang in an arc. Upon contact, it returns to Hoodwink.  The boomerang will deal damage as it passes through or hits enemies, and apply a Hunter's Mark that causes affected enemies to be slowed and be more vulnerable to spell damage.","Hunter's Boomerang",True
117,"npc_dota_hero_void_spirit",126,True,"Causes Resonant Pulse to silence and gain 2 charges.","Resonant Pulse",False,True,"Increases Aether Remnant watch range and only pulls enemy hero units. Other units take 30% damage every 1s that they are in the remnant's path, but the remnant is not destroyed. Decreases cooldown to 15s.","Aether Remnant",False
118,"npc_dota_hero_snapfire",128,True,"Mortimer spits out the unit that's in his mouth, causing impact damage and stun in a large area. The glob leaves a pool of firespit based on the current level of Mortimer Kisses, that slows and applies damage over time. Spit Out has a no minimum launch range.","Spit Out",True,True,"Firesnap cookies become even more potent, healing the target and launching a Mortimer Kiss that does 50% impact damage to the landing destination.","Firesnap Cookie",False
119,"npc_dota_hero_mars",129,True,"Creates 4 invulnerable soldiers on both sides of Mars front while Bulwark is toggled on. Soldiers move alongside Mars, dealing his attacks that have bonus damage, knock back and slow approaching enemies. An enemy can only be attacked by one soldier at a time.","Bulwark",False,True,"Spear of Mars impales up to 2 and leaves a fire trail behind that deals damage over time and slows movement speed.","Spear of Mars",False
120,"npc_dota_hero_ringmaster",131,False,"","",False,True,"Ringmaster shines a spotlight that sweeps over an area. Enemies in the light have a chance to miss their attacks and are revealed if invisible. Illusions hit by the beam fade away, losing a percentage of their maximum health each second. These effects linger for 0.3 seconds after leaving the light.","Spotlight",True
121,"npc_dota_hero_dawnbreaker",135,True,"Reduces the channel time and increases the healing and total duration of Solar Guardian's air time. Causes allies in the destination area to have evasion while Dawnbreaker is airborne. Solar Guardian can be cast again after take off to land early. While airborne, the landing point of Solar Guardian can be moved at a speed of 200.","Solar Guardian",False,True,"Dawnbreaker gains debuff immunity, 50% magic resistance, and free movement during Starbreaker. Dawnbreaker is slowed by 25% down to a minimum of 215.","Starbreaker",False
122,"npc_dota_hero_marci",136,True,"Reduces Unleash cooldown by 10.0 seconds and causes Unleash to apply a basic dispel on Marci. While Unleash is Active, all of Marci's abilities unleash pulses when cast. All of Marci's unleash pulses will silence units for 1 seconds.

DISPEL TYPE: Basic Dispel","Unleash",False,True,"Decreases the cooldown of Rebound, it can be cast on enemies, and causes Marci to also get the speed boost when she casts it.","Rebound",False
123,"npc_dota_hero_primal_beast",137,True,"When Primal Beast activates Uproar, he releases 3 waves of 2 projectiles per stack of uproar each in a circle around him. Projectiles deal damage and Break enemies hit. After a short delay, each projectile splinters in two.","Uproar",False,True,"Primal Beast throws a rock at the target location that stuns and damages enemies. The rock cannot be thrown within a minimum range of Primal Beast. After landing, the rock splits into 3 additional fragments that land behind the initial target location.

 Rock Throw increases stacks of Uproar for each hero hit.","Rock Throw",True
124,"npc_dota_hero_muerta",138,True,"Muerta precisely shoots a hero in their soul, separating it from their physical body and knocking it 150 units away.
The soul is untargetable, muted, disarmed, and invulnerable for 4 seconds.
The body is stunned and has 35% damage reduction for this duration.

After the effect ends the hero's soul is forcefully returned to their body applying a strong dispel. The soul will survive until the end of the effect even if the hero is killed.","Parting Shot",True,True,"Muerta gains 30% Spell Lifesteal during Pierce the Veil.
While Pierce the Veil is active Muerta permanently gains 2% spell amplification each time she kills an enemy Hero or they die in her vicinity. Bonus applies retroactively.","Pierce the Veil",False
